Gene ID,Gene Name,Cluster 1 Weight,Cluster 1 UMI counts/cell,Cluster 2 Weight,Cluster 2 UMI counts/cell
ENSG00000213967,ZNF726,-99.383928852326221,0.0033568311513930849,99.383928852323123,0.01781970649895178
ENSG00000269289,CTB-92J24.3,15.213937230810703,0.00033568311513930849,-15.213937230811403,0.0
ENSG00000268362,CTD-2017D11.1,-86.965301952669151,0.00067136623027861698,86.96530195267313,0.0073375262054507341
ENSG00000213096,ZNF254,-186.67567970042512,0.00067136623027861698,186.67567970043632,0.028301886792452831
ENSG00000261824,LINC00662,-177.42373672502424,0.0010070493454179255,177.42373672502887,0.0220125786163522
ENSG00000261770,CTC-459F4.1,-47.507671918854818,0.0,47.507671918860304,0.0010482180293501049
ENSG00000267575,CTC-459F4.3,-137.70862297412583,0.00067136623027861698,137.70862297412722,0.01781970649895178
ENSG00000169021,UQCRFS1,-770.7784966278092,0.14803625377643503,770.77849662786821,1.3081761006289307
ENSG00000105171,POP4,-411.52252081537176,0.047667002349781808,411.5225208153376,0.34381551362683438
ENSG00000166289,PLEKHF1,-135.85289324925768,0.00033568311513930849,135.85289324926563,0.011530398322851153
ENSG00000131943,C19orf12,-237.55586148817622,0.00033568311513930849,237.55586148815846,0.046121593291404611
ENSG00000105173,CCNE1,-336.33214081126704,0.02920443101711984,336.33214081128176,0.30503144654088049
ENSG00000105176,URI1,-325.62490435006288,0.0040281973816717019,325.62490435005913,0.095387840670859536
ENSG00000121297,TSHZ3,-81.960337031283032,0.0,81.960337031283132,0.0031446540880503146
ENSG00000168813,ZNF507,-136.59561910694603,0.0023497818059751594,136.59561910694379,0.025157232704402517
ENSG00000267213,AC007773.2,-73.415652583235129,0.0,73.415652583238142,0.0031446540880503146
ENSG00000178904,DPY19L3,-74.339019218678402,0.001342732460557234,74.339019218676427,0.009433962264150943
ENSG00000105185,PDCD5,-709.15462122462611,0.024504867405169519,709.15462122457222,0.66771488469601681
ENSG00000105186,ANKRD27,-200.83309576297412,0.0080563947633434038,200.83309576295753,0.082809224318658281
ENSG00000186326,RGS9BP,-61.884199600156585,0.00033568311513930849,61.884199600153622,0.0052410901467505244
ENSG00000267475,CTD-2538C1.2,-92.547322038758949,0.0010070493454179255,92.547322038763468,0.013626834381551363
ENSG00000213965,NUDT19,-144.46269970945238,0.00067136623027861698,144.46269970946054,0.015723270440251572
ENSG00000173809,TDRD12,15.21393723081292,0.00033568311513930849,-15.213937230810847,0.0
ENSG00000266930,CTD-2085J24.4,-47.507671918853163,0.0,47.507671918854086,0.0010482180293501049
ENSG00000121289,CEP89,-101.77364186132317,0.0093991272239006378,101.77364186133327,0.035639412997903561
ENSG00000131944,C19orf40,-125.16907276136698,0.010406176569318564,125.16907276136104,0.045073375262054509
ENSG00000076650,GPATCH1,-119.0082432883633,0.0046995636119503189,119.00824328837055,0.035639412997903561
ENSG00000130881,LRP3,-89.800192341630094,0.00033568311513930849,89.800192341622349,0.0062893081761006293
ENSG00000245848,CEBPA,-323.06589392071112,0.00067136623027861698,323.06589392070384,0.072327044025157231
ENSG00000267296,CEBPA-AS1,-122.25715835019089,0.0,122.25715835018387,0.012578616352201259
ENSG00000267130,CTD-2540B15.9,-47.507671918854591,0.0,47.507671918859785,0.0010482180293501049
ENSG00000153879,CEBPG,-267.04623674991524,0.052366565961732128,267.04623674990216,0.20125786163522014
ENSG00000124299,PEPD,-557.26167829944677,0.018798254447801276,557.26167829945223,0.37526205450733752
ENSG00000153885,KCTD15,-174.10909505503943,0.00033568311513930849,174.10909505503142,0.01781970649895178
ENSG00000257103,LSM14A,-250.81404277813763,0.18361866398120175,250.81404277814252,0.48113207547169812
ENSG00000166398,KIAA0355,-1.1082121041469069,0.014434373950990266,1.1082121041482775,0.015723270440251572
ENSG00000105220,GPI,-457.80754321696952,0.0023497818059751594,457.80754321698919,0.17295597484276728
ENSG00000126249,PDCD2L,-292.12431943009864,0.0026854649211144679,292.12431943009659,0.09853249475890985
ENSG00000126261,UBA2,-381.43760275898865,0.072843235985229945,381.43760275897705,0.46436058700209643
ENSG00000089335,ZNF302,-201.60152086282667,0.0060422960725075529,201.60152086281721,0.056603773584905662
ENSG00000197841,ZNF181,-134.52368472096614,0.0036925142665323934,134.52368472095583,0.029350104821802937
ENSG00000153896,ZNF599,-108.77700390739213,0.0010070493454179255,108.77700390740156,0.015723270440251572
ENSG00000271109,CTC-523E23.11,-154.2496828167929,0.0,154.24968281679764,0.013626834381551363
ENSG00000168661,ZNF30,-48.314766384822214,0.00033568311513930849,48.31476638481962,0.0020964360587002098
ENSG00000180884,ZNF792,-85.450310962981163,0.0010070493454179255,85.450310962974086,0.009433962264150943
ENSG00000089351,GRAMD1A,-340.52975936966448,0.00067136623027861698,340.52975936968687,0.08385744234800839
ENSG00000105711,SCN1B,-162.17152983860674,0.00033568311513930849,162.17152983860683,0.015723270440251572
ENSG00000179066,AC020907.1,-47.507671918854818,0.0,47.50767191885911,0.0010482180293501049
ENSG00000089356,FXYD3,-200.32769114038754,0.0087277609936220208,200.327691140393,0.089098532494758909
ENSG00000266964,FXYD1,-95.267076221859426,0.00033568311513930849,95.267076221852122,0.0062893081761006293
ENSG00000221946,FXYD7,-94.392392936241407,0.0,94.392392936235524,0.0041928721174004195
ENSG00000089327,FXYD5,-1106.1200099857276,0.032896945283652231,1106.1200099856751,1.7348008385744236
ENSG00000105699,LSR,-134.05790885463281,0.00033568311513930849,134.05790885463264,0.012578616352201259
ENSG00000105698,USF2,-324.79573282612472,0.018798254447801276,324.79573282612211,0.14150943396226415
ENSG00000105697,HAMP,-95.307517846778225,0.0,95.307517846775212,0.008385744234800839
ENSG00000105695,MAG,-47.507671918853589,0.0,47.507671918857888,0.0010482180293501049
ENSG00000012124,CD22,-94.736061077836979,0.0,94.736061077842464,0.012578616352201259
ENSG00000185897,FFAR3,-80.723114371273496,0.0,80.723114371270569,0.0031446540880503146
ENSG00000126251,GPR42,-66.387607393025007,0.0,66.38760739301982,0.0020964360587002098
ENSG00000126262,FFAR2,-81.332635724523541,0.00067136623027861698,81.332635724524081,0.0062893081761006293
ENSG00000161249,DMKN,-91.054193565065901,0.0,91.054193565072268,0.0041928721174004195
ENSG00000236144,AD000090.2,-89.191397004604909,0.001342732460557234,89.191397004607623,0.010482180293501049
ENSG00000105677,TMEM147,-707.5411335097441,0.055052030882846596,707.54113350969328,0.7190775681341719
ENSG00000249115,HAUS5,-108.20538806837374,0.0097348103390399471,108.20538806837162,0.056603773584905662
ENSG00000126254,RBM42,-446.33707149311613,0.083249412554548513,446.33707149309754,0.49580712788259956
ENSG00000105672,ETV2,-88.499850790132427,0.0023497818059751594,88.499850790123659,0.015723270440251572
ENSG00000126267,COX6B1,-1022.341764128152,0.70762000671366232,1022.3417641281682,3.7693920335429771
ENSG00000272333,KMT2B,-97.256239916230854,0.0033568311513930849,97.256239916225582,0.015723270440251572
ENSG00000126246,IGFLR1,-317.61815572647231,0.0067136623027861698,317.61815572649414,0.074423480083857449
ENSG00000161265,U2AF1L4,-240.29098826166219,0.015441423296408191,240.29098826167765,0.08385744234800839
ENSG00000205155,PSENEN,-540.67220707398303,0.075528700906344406,540.67220707399224,0.48742138364779874
ENSG00000267796,LIN37,-80.106839368632635,0.002014098690835851,80.106839368635022,0.010482180293501049
ENSG00000004776,HSPB6,-83.030812574579215,0.0,83.030812574576927,0.0052410901467505244
ENSG00000167595,C19orf55,-124.68268700502037,0.0067136623027861698,124.6826870050148,0.025157232704402517
ENSG00000004777,ARHGAP33,-77.125115755375589,0.0046995636119503189,77.125115755367759,0.014675052410901468
ENSG00000167604,NFKBID,-190.46693569190668,0.00033568311513930849,190.46693569190694,0.029350104821802937
ENSG00000126264,HCST,-1068.1013350796266,0.034239677744209468,1068.1013350795367,1.8584905660377358
ENSG00000011600,TYROBP,-1088.4324098933828,0.11648204095334004,1088.4324098933462,6.9706498951781972
ENSG00000205138,SDHAF1,-310.40436701599583,0.012755958375293723,310.4043670159723,0.13626834381551362
ENSG00000181392,SYNE4,-47.507671918854506,0.0,47.507671918856978,0.0020964360587002098
ENSG00000239382,ALKBH6,-181.29518090370968,0.021483719368915744,181.29518090371934,0.08385744234800839
ENSG00000267698,AC002116.7,-27.86028753005132,0.0023497818059751594,27.860287530052211,0.0062893081761006293
ENSG00000161277,THAP8,-157.79046922163309,0.002014098690835851,157.79046922162243,0.029350104821802937
ENSG00000075702,WDR62,31.873185095009177,0.050352467270896276,-31.873185095005788,0.050314465408805034
ENSG00000105258,POLR2I,-463.46200926195411,0.33769721383014434,463.46200926197042,1.1949685534591195
ENSG00000105254,TBCB,-659.36784614770454,0.10070493454179255,659.367846147676,0.64989517819706499
ENSG00000126247,CAPNS1,-530.90474597280138,0.016448472641826115,530.90474597282901,0.29979035639412999
ENSG00000196357,ZNF565,-26.437363327363407,0.00067136623027861698,26.437363327365738,0.0010482180293501049
ENSG00000167635,ZNF146,-296.44849144648612,0.021819402484055051,296.44849144648316,0.16561844863731656
ENSG00000232677,LINC00665,-276.84514410797857,0.0036925142665323934,276.84514410797414,0.090146750524109018
ENSG00000142065,ZFP14,-184.00715781111325,0.00033568311513930849,184.00715781112135,0.034591194968553458
ENSG00000181007,ZFP82,-135.3470019420806,0.0023497818059751594,135.34700194209017,0.025157232704402517
ENSG00000186017,ZNF566,-107.48859079870972,0.0046995636119503189,107.48859079871595,0.028301886792452831
ENSG00000267309,CTD-2630F21.1,-32.029308781083145,0.00033568311513930849,32.029308781080971,0.0010482180293501049
ENSG00000254004,ZNF260,-20.172771542020371,0.0046995636119503189,20.172771542020964,0.0062893081761006293
ENSG00000186020,ZNF529,-93.0282738037629,0.002014098690835851,93.028273803765529,0.011530398322851153
ENSG00000233527,AC092295.7,-60.718667303726804,0.001342732460557234,60.71866730372426,0.008385744234800839
ENSG00000161298,ZNF382,-159.82011220275174,0.001342732460557234,159.82011220273608,0.0220125786163522
ENSG00000197808,ZNF461,-40.152508854307285,0.002014098690835851,40.152508854302354,0.0062893081761006293
ENSG00000225975,AC074138.3,-92.482957115280101,0.00033568311513930849,92.482957115287292,0.0073375262054507341
ENSG00000189042,ZNF567,-136.80129180430936,0.0087277609936220208,136.80129180429535,0.048218029350104823
ENSG00000267041,ZNF850,-82.743212261149679,0.001342732460557234,82.74321226115417,0.009433962264150943
ENSG00000267260,CTD-2162K18.4,-89.777082761643101,0.0,89.777082761635327,0.0062893081761006293
ENSG00000267254,CTD-2162K18.5,-127.65345585683083,0.00033568311513930849,127.65345585684159,0.014675052410901468
ENSG00000197863,ZNF790,-63.775277969087028,0.0057066129573682444,63.775277969082225,0.023060796645702306
ENSG00000251247,ZNF345,-93.51979656939119,0.00033568311513930849,93.519796569380972,0.0062893081761006293
ENSG00000185869,ZNF829,-67.203087026649285,0.002014098690835851,67.203087026651289,0.012578616352201259
ENSG00000198453,ZNF568,-164.0882903917645,0.0016784155756965425,164.08829039175689,0.025157232704402517
ENSG00000197050,ZNF420,-69.263567143732558,0.0046995636119503189,69.263567143727826,0.018867924528301886
ENSG00000267360,CTC-454I21.3,15.21393723081437,0.00033568311513930849,-15.213937230810958,0.0
ENSG00000196967,ZNF585A,-98.690554810891356,0.00033568311513930849,98.690554810884706,0.009433962264150943
ENSG00000245680,ZNF585B,-81.880170833534606,0.0023497818059751594,81.880170833533128,0.010482180293501049
ENSG00000188283,ZNF383,-107.28569773364936,0.0016784155756965425,107.28569773365263,0.014675052410901468
ENSG00000226686,AC012309.5,-69.83013948482018,0.00067136623027861698,69.830139484817451,0.0062893081761006293
ENSG00000181666,HKR1,-89.094652770413063,0.0040281973816717019,89.094652770407095,0.024109014675052411
ENSG00000189164,ZNF527,-51.189842069541655,0.0033568311513930849,51.189842069538344,0.009433962264150943
ENSG00000196437,ZNF569,-144.90942620307021,0.0060422960725075529,144.90942620307692,0.041928721174004195
